artist_id,nb_fan,nb_album
55164,32,1
55830,6197,18
2704,20012,23
938,442376,43
2939,28393,64
2900,28816,11
3191,10750,1
1765,500993,23
2979,2540,15
13922,156638,23
2205,9737,17
1945,205626,13
45,4255811,82
8270,49694,22
960,107901,19
2076,31631,27
65016,153,2
2711,72411,50
64638,3692,41
899,7322,19
621,154585,18
5652,279758,4
1057,9857,10
1375,77405,11
14305,39731,19
7743,13086,7
4042,1669,3
7775,46226,27
59336,2762,24
26,584830,10
1026,557171,18
7004,98863,10
3201,786825,60
2528,51161,32
73040,1838,0
1216,2767,12
1388,126464,5
76777,1039,1
1309,2600760,36
2636,158632,34
67,1330191,66
3281,485566,23
6817,22385,17
306,118965,71
7070,3762,15
8763,3376,11
408,296147,33
6739,36269,4
38,3613182,53
6151,1738,17
271510,50,4
93822,1129,81
97629,7447,19
99416,16703,13
6859,27984,428
97781,4636,64
104804,28,14
534,248984,16
74327,9259,16
76331,1315,19
1245397,217,6
3777,2251,25
68749,913,20
613,11285,436
84149,7260,33
100545,111264,16
385,1620261,34
3280,532525,391
1831,61322,461
152,900126,35
1005,3218657,53
10610,247,1
78876,610,5
530,234323,19
142956,1143,1
1897,1992,30
2943,8274,33
4094,19722,34
83,201749,14
55679,25440,429
146633,737,2
17265,704,0
471,5247,4
148143,20,3
671,199063,389
1472,2426,0
116,2400816,62
612,777460,28
997,899555,111
1473,347,20
1511,810,0
1515,32549,27
5227,24406,0
76,1021852,70
4116,15679,7
1555,30872,19
1012,15988,7
16528,37445,68
5091,72663,26
152656,3,1
5929,7993,7
154071,887,4
154072,28996,1
404,1600573,26
160989,1678,73
2124,178597,26
719,4918293,49
190894,173,4
3128,356710,19
70601,127,1
64132,5751,11
65,1900766,80
5478,243,0
616,35495,67
5080,104729,0
12929,26,1
2005231,14,4
335,25125,6
799,264550,29
17313,2482,3
7085,1637,16
210178,2,0
69386,10568,11
7076,9030,17
165465,120,8
9131,2321,239
166141,148,10
2764,18712,38
210170,106,63
7086,31796,45
166139,131,24
221,596515,404
1298,19380,23
2353,1311149,28
15953,5522,58
296911,1836,6
2159,31053,32
661,44211,36
2735,152751,231
212,1170295,96
144227,5897145,26
10425,11380,26
265527,80,0
5679,92870,43
2739,4763,414
3786,17787,92
7983,184261,32
11175,53967,9
9240,8832,11
1467,27979,20
158727,4415,11
828,324737,36
9110,4793,30
1316,1249,9
4655,29961,43
89927,89,17
8569,73707,241
1447455,237,7
3499,4177,41
275540,55,3
131772,1574,1
75498,16628,42
196045,590501,16
157,1546966,51
426250,14718,33
15794,122648,11
187105,598,9
816,412680,48
7525,36355,37
159051,30312,3
297857,1183,5
5695,976558,451
127712,75,1
1032,31013,34
159451,1499,15
253670,3521,5
270965,1723,12
319836,2451,5
71922,12747,98
74768,342,35
91,509166,21
2915,5972,30
12992,11841,7
4147687,168,0
14603,1579,389
4436,2357,13
97777,48147,13
288166,6829224,46
243852,2020,4
90320,385,9
1523,15530,4
100675,533213,331
4162,366448,35
445366,151,3
267732,503,10
11635,528,7
13666,104316,8
12626,30634,12
567283,13,1
567284,122,0
8003,59169,17
1650,180628,22
281955,64245,6
132904,1915,9
12142,55755,11
58912,52480,273
210756,6945,29
16775,3436,15
384608,9,0
878340,12903,26
5538,1071,3
12882,266251,15
13656,91619,18
6570,40435,35
303933,873,21
340216,15619,6
477357,5846,9
296841,229886,10
358,384481,35
4983,45024,31
2908,256612,411
789255,5338,5
81123,603,15
107771,654,221
4187732,0,0
4187733,6,0
310977,19,3
191208,4,13
319603,27,11
242276,11670,67
431721,410,4
171793,1081,11
457144,272,0
8544,70952,14
3469,5124016,49
1055714,48,2
99438,94,1
6187,2298,10
1079372,62,1
1098591,1242,27
165127,54,43
15801,321,1
456333,10,1
1182364,153,13
11,3946995,95
256328,17131,2
1073,324079,30
416075,876,7
74042,763,6
6738,11090,16
85791,2335,2
323,1345143,41
63172,9530,24
476,15687,28
372106,40444,0
74309,4096937,83
1231304,86,1
209006,25,1
260084,17493,19
171727,72624,63
119801,146209,18
71712,69486,40
7081,171002,46
134790,241921,20
6488,20894,21
310132,334,3
554987,42746,8
8106,23505,13
5048,84,2
424744,2948,5
10133,5671434,227
1052606,6382,27
987048,1458,14
191083,170,1
2907,42918,161
2016,501377,36
368669,1915,497
384454,908,490
369320,3504,12
285641,2544,5
1336994,556636,21
557496,2345,27
467623,999,24
2005881,81,11
85003,9572,12
122882,4141,195
6870,622,14
177051,147,41
1001,253010,357
66,5184532,53
259,8082400,46
1777,38171,22
1406553,730,324
12449,89477,25
666,207181,39
157722,2341,0
1060,147599,276
1486404,1367,0
293177,1002,16
67912,35235,11
153822,286,3
1183971,19,0
9525,7361,11
14903,37135,23
372635,158761,27
147696,277,66
1384959,1412,9
996589,618909,11
146195,31760,50
8784,7794,10
1653,71267,20
1472021,1462,3
429675,6338412,16
170482,189398,12
101002,2718,7
1281,11015,7
2732,8344,21
1472023,2550,1
363378,13703,15
391623,28135,10
